id,premis,hipotesis,label
1583,Dua adik perempuannya yaitu Veronica dan Guendalina juga saat ini berprofesi sebagai atlet bola voli .,Dua adik perempuannya berprofesi sebagai atlet bola voli,entailment
1584,Dua adik perempuannya yaitu Veronica dan Guendalina juga saat ini berprofesi sebagai atlet bola voli .,Veronica dan Guendalina merupakan saudara kembar,neutral
1585,Dua adik perempuannya yaitu Veronica dan Guendalina juga saat ini berprofesi sebagai atlet bola voli .,Guendalina berprofesi sebagai atlet bola basket,contradiction
1586,"Segera setelah foto pesta resmi dirilis , media sosial dipenuhi dengan komentar-komentar ” dan komentar itu tidak menyenangkan .",Komentar-komentar tersebut tidak menyenangkan,entailment
1587,"Segera setelah foto pesta resmi dirilis , media sosial dipenuhi dengan komentar-komentar ” dan komentar itu tidak menyenangkan .",Media sosial dipenuhi dengan foto pesta,neutral
1588,"Segera setelah foto pesta resmi dirilis , media sosial dipenuhi dengan komentar-komentar ” dan komentar itu tidak menyenangkan .",Media sosial tidak dipenuhi dengan komentar-komentar,contradiction
1589,"Saat angin stabil mulai berhembus , partikel-partikel yang halus yang terletak di atas tanah yang terbuka itu mulai bergetar .",Angin menyebabkan partikel-partikel halus diatas tanah yang terbuka bergetar .,entailment
1590,"Saat angin stabil mulai berhembus , partikel-partikel yang halus yang terletak di atas tanah yang terbuka itu mulai bergetar .",Partikel-partikel halus di atas tanah mengandung mineral .,neutral
1591,"Saat angin stabil mulai berhembus , partikel-partikel yang halus yang terletak di atas tanah yang terbuka itu mulai bergetar .",Angin tidak berpengaruh terhadap getaran partikel-partikel halus di atas tanah .,contradiction
1592,Di Waduk Wadaslintang  terdapat perahu mesin dan perahu dayung . ,"Selain perahu mesin , di Waduk Wadaslintang juga terdapat perahu dayung .",entailment
1593,Di Waduk Wadaslintang  terdapat perahu mesin dan perahu dayung . ,Perahu di Waduk Wadaslintang dapat digunakan wisatawan .,neutral
1594,Di Waduk Wadaslintang  terdapat perahu mesin dan perahu dayung . ,Tidak terdapat perahu di Waduk Wadaslintang .,contradiction
1595,"Vice President Corporate Communication PT Telekomunikasi Indonesia Tbk ( Telkom ) , Arif Prabowo mengonfirmasi bahwa kerja sama antara Telkom dengan Hooq tidak akan dilanjutkan .",Arif Prabowo menjabat sebagai Vice President Corporate Communication PT Telekomunikasi Indonesia Tbk ( Telkom ).,entailment
1596,"Vice President Corporate Communication PT Telekomunikasi Indonesia Tbk ( Telkom ) , Arif Prabowo mengonfirmasi bahwa kerja sama antara Telkom dengan Hooq tidak akan dilanjutkan .",Arif Prabowo menandatangani perjanjian antara Telkom dengan Hooq.,neutral
1597,"Vice President Corporate Communication PT Telekomunikasi Indonesia Tbk ( Telkom ) , Arif Prabowo mengonfirmasi bahwa kerja sama antara Telkom dengan Hooq tidak akan dilanjutkan .",Arif Prabowo tidak menjabat sebagai Vice President Corporate Communication PT Telekomunikasi Indonesia Tbk ( Telkom ).,contradiction
1598,"Tak hanya di pagi hari , di jam 14.00-17.00 , mata pun akan lebih terasa ngantuk , karena kadar gula darah saat itu sudah mulai menurun dalam tubuh .",Kadar gula darah yang menurun dalam tubuh dapat menyebabkan mata lebih terasa mengantuk.,entailment
1599,"Tak hanya di pagi hari , di jam 14.00-17.00 , mata pun akan lebih terasa ngantuk , karena kadar gula darah saat itu sudah mulai menurun dalam tubuh .",Mata akan kembali segar setelah pukul 17.00.,neutral
1600,"Tak hanya di pagi hari , di jam 14.00-17.00 , mata pun akan lebih terasa ngantuk , karena kadar gula darah saat itu sudah mulai menurun dalam tubuh .","Pada pagi hari, mata tidak lebih terasa mengantuk.",contradiction
1601,Foto itu memperlihatkan sosok istri Raul Lemos ini tengah duduk di bangku pengemudi becak .,Terdapat foto Istri Raul Lemos,entailment
1602,Foto itu memperlihatkan sosok istri Raul Lemos ini tengah duduk di bangku pengemudi becak .,Raul Lemos pengemudi Becak,neutral
1603,Foto itu memperlihatkan sosok istri Raul Lemos ini tengah duduk di bangku pengemudi becak .,Raul Lemos tidak memiliki Istri,contradiction
1604,"Orang yang lanjut usia akan ditawari 500 euro oleh negara , yang harus dihabiskan sebelum 31 Desember 2017 .",Uang 500 euro yang ditawarkan negara harus habis sebelum 31 Desember 2017 .,entailment
1605,"Orang yang lanjut usia akan ditawari 500 euro oleh negara , yang harus dihabiskan sebelum 31 Desember 2017 .",Uang 500 euro yang ditawarkan oleh negara diberi secara tunai .,neutral
1606,"Orang yang lanjut usia akan ditawari 500 euro oleh negara , yang harus dihabiskan sebelum 31 Desember 2017 .",Orang yang lanjut usia tidak akan ditawari 500 euro oleh negara .,contradiction
1607,"Namun Ayu menyadari , ketakutan itu bisa dihilangkan jika dirinya dan keluarga bisa menjaga sang buah hati dengan baik .",Menjaga anak dengan baik bisa menghilangkan ketakutan.,Entailment
1608,"Namun Ayu menyadari , ketakutan itu bisa dihilangkan jika dirinya dan keluarga bisa menjaga sang buah hati dengan baik .",Ayu tidak hanya merasa ketakutan tetapi juga depresi.,Neutral
1609,"Namun Ayu menyadari , ketakutan itu bisa dihilangkan jika dirinya dan keluarga bisa menjaga sang buah hati dengan baik .",Ayu sedang tidak takut.,Contradiction
1610,Gereja Reformed di Indonesia yang bercorak evangelistik ( Injili ) dikenal sebagai Gereja Reformed Injili Indonesia .,Terdapat Gereja Reformed di Indonesia .,entailment
1611,Gereja Reformed di Indonesia yang bercorak evangelistik ( Injili ) dikenal sebagai Gereja Reformed Injili Indonesia .,Tidak ada Gereja Reformed bercorak selain evangelistik di Indonesia .,neutral
1612,Gereja Reformed di Indonesia yang bercorak evangelistik ( Injili ) dikenal sebagai Gereja Reformed Injili Indonesia .,Tidak ada Gereja Reformed yang bercorak Injili .,contradiction
1613,Album Wild West milik nya pada tahun 1981 merupakan salah satu album terlaris nya .,Wild West merupakan album miliknya,entailment
1614,Album Wild West milik nya pada tahun 1981 merupakan salah satu album terlaris nya .,Ia memiliki lebih dari satu album,neutral
1615,Album Wild West milik nya pada tahun 1981 merupakan salah satu album terlaris nya .,Wild West bukan album milikinya,contradiction
1616,Riverdale merupakan serial Netflix yang sedang kejar tayang untuk musim keduanya .,Riverdale tayang di Netflix.,Entailment
1617,Riverdale merupakan serial Netflix yang sedang kejar tayang untuk musim keduanya .,Riverdale ditayangkan setiap Senin malam.,Neutral
1618,Riverdale merupakan serial Netflix yang sedang kejar tayang untuk musim keduanya .,Riverdale tidak tayang di Netflix.,Contradiction
1619,"Favorit para penonton, Petra Kvitova , yang berusaha memperbaiki penampilan menyusul luka tusuk di tangannya yang dilakukan seorang penyusup ke rumahnya , menang 6 - 1 , 7 - 6(5 ) atas petenis Spanyol Carla Suarez Navarro .","Meskipun cedera, Petra tetap menang atas petenis Spanyol Carla Suarex Navarro.",entailment
1620,"Favorit para penonton, Petra Kvitova , yang berusaha memperbaiki penampilan menyusul luka tusuk di tangannya yang dilakukan seorang penyusup ke rumahnya , menang 6 - 1 , 7 - 6(5 ) atas petenis Spanyol Carla Suarez Navarro .",Petra Kvitova selalu menang atas Carla Suarez Navarro.,neutral
1621,"Favorit para penonton, Petra Kvitova , yang berusaha memperbaiki penampilan menyusul luka tusuk di tangannya yang dilakukan seorang penyusup ke rumahnya , menang 6 - 1 , 7 - 6(5 ) atas petenis Spanyol Carla Suarez Navarro .","Meskipun tampil segar bugar tanpa cedera apapun, Petra Kvitova tetap kalah melawan petenis asal Spanyol.",contradiction
1622,"""Ia menilai Weinstein melakukan hal yang biasa ia lakukan bersama perusahaannya untuk mendapat keuntungan . Menyusul Streep , Lawrence turut membuka suara .""",Lawrence turut membuka suara setelah Streep.,entailments
1623,"""Ia menilai Weinstein melakukan hal yang biasa ia lakukan bersama perusahaannya untuk mendapat keuntungan . Menyusul Streep , Lawrence turut membuka suara .""",Ia merasa Stree dan Lawrence mendukungnya.,neutral
1624,"""Ia menilai Weinstein melakukan hal yang biasa ia lakukan bersama perusahaannya untuk mendapat keuntungan . Menyusul Streep , Lawrence turut membuka suara .""",Lawrence tidak pernah membuka suara.,contradiction
1625,"Hingga saat ini sudah ada 1.834 kasus yang terkonfirmasi dan sebanyak 492 orang meninggal karena virus Corona di Marion County , Ohio .","Terdapat kasus yang terkonfirmasi di Marion County , Ohio .",entailment
1626,"Hingga saat ini sudah ada 1.834 kasus yang terkonfirmasi dan sebanyak 492 orang meninggal karena virus Corona di Marion County , Ohio .",Banyak orang meninggal di Ohio .,neutral
1627,"Hingga saat ini sudah ada 1.834 kasus yang terkonfirmasi dan sebanyak 492 orang meninggal karena virus Corona di Marion County , Ohio .",Tidak ada orang yang meninggal karena virus Corona .,contradiction
1628,Teknologi GPS membuat terobosan baru dalam perkembangan bionik yaitu mampu melacak keberadaan hewan ataupun manusia melalui satelit dengan mengimplan Mikrocip ke dalam tubuh .,Satelit mampu melacak hewan melalui mikrocip yang terimplan dalam tubuh hewan dengan teknologi GPS .,entailment
1629,Teknologi GPS membuat terobosan baru dalam perkembangan bionik yaitu mampu melacak keberadaan hewan ataupun manusia melalui satelit dengan mengimplan Mikrocip ke dalam tubuh .,Implan mikrocip ke dalam tubuh hewan dan manusia sangat aman .,neutral
1630,Teknologi GPS membuat terobosan baru dalam perkembangan bionik yaitu mampu melacak keberadaan hewan ataupun manusia melalui satelit dengan mengimplan Mikrocip ke dalam tubuh .,Teknologi GPS tidak membuat terobosan baru dalam perkembangan bionik .,contradiction
1631,Nama Baby Jane terpampang jelas di bagian plat mobil yang dikendarai olehnya dan di depan pintu ruang gantinya .,Di depan pintu ruang gantinya terdapat tulisan Baby Jane.,entailment
1632,Nama Baby Jane terpampang jelas di bagian plat mobil yang dikendarai olehnya dan di depan pintu ruang gantinya .,Baby Jane bersaudara lima.,neutral
1633,Nama Baby Jane terpampang jelas di bagian plat mobil yang dikendarai olehnya dan di depan pintu ruang gantinya .,Nama Baby Jane hanya terpampang di depan pintu ruang gantinya.,contradiction
1634,Tubuh wanita ini berasal dari abad ke-11 dan diidentifikasikan sebagai Sigrid ( atau Gunhild ) .,Tubuh wanita ini berasal dari abad ke-11 .,entailment
1635,Tubuh wanita ini berasal dari abad ke-11 dan diidentifikasikan sebagai Sigrid ( atau Gunhild ) .,Tubuh wanita ini ditemukan pada abad ke-11 .,neutral
1636,Tubuh wanita ini berasal dari abad ke-11 dan diidentifikasikan sebagai Sigrid ( atau Gunhild ) .,Tubuh ini merupakan tubuh pria .,contradiction
1637,Pura Ulun Danu terletak sekitar 56 kilometer dari Kota Denpasar . ,Letak Kota Denpasar adalah sekitar 56 kilometer dari Pura Ulun Danu .,entailment
1638,Pura Ulun Danu terletak sekitar 56 kilometer dari Kota Denpasar . ,Pura Ulun Danu terletak sekitar satu jam perjalanan dari Kota Denpasar .,neutral
1639,Pura Ulun Danu terletak sekitar 56 kilometer dari Kota Denpasar . ,Kota Denpasar berjarak kurang dari 20 kilometer dari Pura Ulun Danu .,contradiction
1640,"Pada Maret 2017, Dewan Olimpiade Asia awalnya mengumumkan bahwa Asian Games 2018 akan menampilkan 484 nomor pertandingan dalam 42 cabang olahraga, termasuk 28 cabang olahraga Olimpiade permanen yang diperebutkan Olimpiade Musim Panas 2016, lima cabang olahraga tambahan yang akan diperebutkan di Olimpiade Musim Panas 2020 di Tokyo, serta pertandingan di cabang olahraga non-Olimpiade lainnya.","Pada Maret 2017, Dewan Olimpiade Asia awalnya mengumumkan bahwa Asian Games 2018 akan menampilkan 484 nomor pertandingan dalam 42 cabang olahraga .",entailment
1641,"Pada Maret 2017, Dewan Olimpiade Asia awalnya mengumumkan bahwa Asian Games 2018 akan menampilkan 484 nomor pertandingan dalam 42 cabang olahraga, termasuk 28 cabang olahraga Olimpiade permanen yang diperebutkan Olimpiade Musim Panas 2016, lima cabang olahraga tambahan yang akan diperebutkan di Olimpiade Musim Panas 2020 di Tokyo, serta pertandingan di cabang olahraga non-Olimpiade lainnya.",Panitia sudah mempersiapkan acara dengan matang Asian Games 2018 mulai dari tahun 2017 .,neutral
1642,"Pada Maret 2017, Dewan Olimpiade Asia awalnya mengumumkan bahwa Asian Games 2018 akan menampilkan 484 nomor pertandingan dalam 42 cabang olahraga, termasuk 28 cabang olahraga Olimpiade permanen yang diperebutkan Olimpiade Musim Panas 2016, lima cabang olahraga tambahan yang akan diperebutkan di Olimpiade Musim Panas 2020 di Tokyo, serta pertandingan di cabang olahraga non-Olimpiade lainnya.",Tidak ada info pengumuman mengenai Asian Games 2018 pada Maret 2017 .,contradiction
1643,"Namun perlu diingat , meskipun pembentukan vitamin D akan lebih efisien jika berjemur di siang hari , ada risiko yang bisa disebabkan karena berjemur terlalu siang . Apalagi jika berjemur dalam waktu yang lama tanpa menggunakan pelindung atau tabir surya .",Penggunaan tabir surya atau pelindung dianjurkan jika ingin berjemur lama di siang hari.,Entailment
1644,"Namun perlu diingat , meskipun pembentukan vitamin D akan lebih efisien jika berjemur di siang hari , ada risiko yang bisa disebabkan karena berjemur terlalu siang . Apalagi jika berjemur dalam waktu yang lama tanpa menggunakan pelindung atau tabir surya .",Pagi hari adalah waktu yang paling sering digunakan orang untuk berjemur.,Neutral
1645,"Namun perlu diingat , meskipun pembentukan vitamin D akan lebih efisien jika berjemur di siang hari , ada risiko yang bisa disebabkan karena berjemur terlalu siang . Apalagi jika berjemur dalam waktu yang lama tanpa menggunakan pelindung atau tabir surya .",Berjemur terlalu siang tidak memberikan risiko apapun.,Contradiction
1646,"""Sutradara Nayato Fio Nuala didapuk menggarap film ini . Hantunya pun sama , masih ada pastor yang kepalanya dipenggal yang akan menakuti penonton .""",Pastor yang kepalanya dipenggal masih akan muncul di film ini.,entailments
1647,"""Sutradara Nayato Fio Nuala didapuk menggarap film ini . Hantunya pun sama , masih ada pastor yang kepalanya dipenggal yang akan menakuti penonton .""",Hantu di film ini diganti.,contradiction
1648,Kepala pemerintahan adalah seorang perdana menteri yang ditunjuk oleh presiden dengan persetujuan dari parlemen .,Kepala pemerintahan ditunjuk oleh presiden dengan persetujuan dari parlemen,entailment
1649,Kepala pemerintahan adalah seorang perdana menteri yang ditunjuk oleh presiden dengan persetujuan dari parlemen .,Parlemen harus menyetujui presiden,neutral
1650,Kepala pemerintahan adalah seorang perdana menteri yang ditunjuk oleh presiden dengan persetujuan dari parlemen .,Kepala pemerintahan adalah seorang presiden,contradiction
1651,"Wilayah desa ini mencakup 3 pulau , yakni Dewakang Lompo , Dewakang Caddi , dan Bangka Uluang .",Dewakang Caddi merupakan salah satu pulau yang dicakup oleh wilayah desa ini .,entailment
1652,"Wilayah desa ini mencakup 3 pulau , yakni Dewakang Lompo , Dewakang Caddi , dan Bangka Uluang .",Dewakang Caddi dan Dewakkang Lompo adalah pulau yang bertetangga .,neutral
1653,"Wilayah desa ini mencakup 3 pulau , yakni Dewakang Lompo , Dewakang Caddi , dan Bangka Uluang .",Bangka Uluang tidak tercakup oleh wilayah desa ini .,contradiction
1654,Ia menjadi Gubernur Bali menggantikan Anak Agung Bagus Sutedja .,Ia adalah gubernur sesudah Anak Agung Bagus Sutedja,entailment
1655,"Bus ulang alik swasta melayani rute antar bandara dari Sutherland Shire , Blue Mountains dan Central Coast .",Terdapat bus yang melayani rute antar bandara,entailment
1656,"Bus ulang alik swasta melayani rute antar bandara dari Sutherland Shire , Blue Mountains dan Central Coast .",Sutherland Shire dekat dengan Central Coast,neutral
1657,"Bus ulang alik swasta melayani rute antar bandara dari Sutherland Shire , Blue Mountains dan Central Coast .",Central Coast tidak termasuk rute bus ulang alik,contradiction
1658,"Ia menyebut Franco tidak memberi kesempatan pada aktris kecuali jika ada adegan bugil . Menurutnya , Franco mengambil kesempatan dari kondisi itu .",Franco mengambil kesempatan dari adengan bugil aktris .,entailment
1659,"Ia menyebut Franco tidak memberi kesempatan pada aktris kecuali jika ada adegan bugil . Menurutnya , Franco mengambil kesempatan dari kondisi itu .",Apa yang dikatakan ia tentang Franco benar terjadi .,neutral
1660,"Ia menyebut Franco tidak memberi kesempatan pada aktris kecuali jika ada adegan bugil . Menurutnya , Franco mengambil kesempatan dari kondisi itu .",Franco tidak mengambil kesempatan dari adengan bugil aktris .,contradiction
1661,""" Karena kami pemerintah mengeluarkan FLPP berarti punya hak untuk mengawasi . Nah ini sekarang kami lagi susun regulasinya untuk pengawasan fisik . Kalau yang financing kan bank selama ini pengawasan fisik di bank . Ini tidak bisa . Saya punya hak mengawasi jadi sekarang kita sedang rumuskan , "" katanya .",Regulasi pengawasan fisik sedang disusun,entailment
1662,""" Karena kami pemerintah mengeluarkan FLPP berarti punya hak untuk mengawasi . Nah ini sekarang kami lagi susun regulasinya untuk pengawasan fisik . Kalau yang financing kan bank selama ini pengawasan fisik di bank . Ini tidak bisa . Saya punya hak mengawasi jadi sekarang kita sedang rumuskan , "" katanya .",Pemerintah punya hak untuk mengawasi bank,neutral
1663,""" Karena kami pemerintah mengeluarkan FLPP berarti punya hak untuk mengawasi . Nah ini sekarang kami lagi susun regulasinya untuk pengawasan fisik . Kalau yang financing kan bank selama ini pengawasan fisik di bank . Ini tidak bisa . Saya punya hak mengawasi jadi sekarang kita sedang rumuskan , "" katanya .",Pemerintah tidak berhak melakukan pengawasan fisik,contradiction
1664,Desa ini merupakan satu dari 27 desa dan kelurahan yang berada di kecamatan Cibal .,Kecamatan cibal memiliki 27 desa dan keluarahn,entailment
1665,Desa ini merupakan satu dari 27 desa dan kelurahan yang berada di kecamatan Cibal .,Kecamatan cibal memiliki 13 desa,neutral
1666,Desa ini merupakan satu dari 27 desa dan kelurahan yang berada di kecamatan Cibal .,Desa ini bukan salah satu dari 27 desa dan kelurahan pada kecamatan Cibal,contradiction
1667,"Padahal , Raisa sebelumnya sudah berpacaran dengan Keenan Pearce selama lima tahun .",Keena Pearce sudah putus hubungan dengan Raisa.,Entailment
1668,"Padahal , Raisa sebelumnya sudah berpacaran dengan Keenan Pearce selama lima tahun .",Keena Pearce sudah berpacaran dengan orang lain.,Neutral
1669,"Padahal , Raisa sebelumnya sudah berpacaran dengan Keenan Pearce selama lima tahun .",Raisa dan Keena Pearce sudah berpacaran selama 10 tahun.,Contradiction
1670,"Bagi yang terbiasa duduk sambil menyilangkan kaki , tentu saja hal itu jadi merepotkan .",Ada orang yang terbiasa duduk menyilangkan kaki .,entailment
1671,"Bagi yang terbiasa duduk sambil menyilangkan kaki , tentu saja hal itu jadi merepotkan .",Duduk menyilangkan kaki merepotkan bagi semua orang .,neutral
1672,"Bagi yang terbiasa duduk sambil menyilangkan kaki , tentu saja hal itu jadi merepotkan .",Tidak ada orang di dunia ini yang terbiasa duduk menyilangkan kaki .,contradiction
1673,"Dilansir dari NME , rekaman musik itu diproduksi enam bulan sebelum Lemmy jatuh sakit .",NME melansir berita tentang Lemmy.,Entailment
1674,"Dilansir dari NME , rekaman musik itu diproduksi enam bulan sebelum Lemmy jatuh sakit .",NME adalah nama rekaman studio.,Neutral
1675,"Dilansir dari NME , rekaman musik itu diproduksi enam bulan sebelum Lemmy jatuh sakit .",Lemmy selalu sehat.,Contradiction
1676,"""Pasalnya , musim selanjutnya Doctor Who sedang dijadwalkan untuk musim gugur 2018 . Namun sayangnya , penggemar nampaknya harus menunggu sedikit lebih lama untuk menonton Doctor terbaru .""",Musim selanjutnya Doctor Who akan ditayangkan musim gugur 2018.,Entailments
1677,"""Pasalnya , musim selanjutnya Doctor Who sedang dijadwalkan untuk musim gugur 2018 . Namun sayangnya , penggemar nampaknya harus menunggu sedikit lebih lama untuk menonton Doctor terbaru .""",Musim Doctor Who kemarin merupakan musim yang terakhir.,contradiction
1678,"Pulau Karang ini merupakan bagian dari wilayah pemerintah Kabupaten Maluku Tenggara , provinsi Maluku .",Kabupaten Maluku Tenggara terletak di provinsi Maluku .,entailment
1679,"Pulau Karang ini merupakan bagian dari wilayah pemerintah Kabupaten Maluku Tenggara , provinsi Maluku .",Pulau Karang ini berdekatan dengan ibukota provinsi Maluku .,neutral
1680,"Pulau Karang ini merupakan bagian dari wilayah pemerintah Kabupaten Maluku Tenggara , provinsi Maluku .",Kabupaten Maluku Tenggara tidak terletak di provinsi Maluku .,contradiction
1681,Peningkatan volume penumpang harian juga mengindikasikan kebutuhan penambahan armada saat ini yang jumlahnya 20 unit .,Volume penumpang harian mengalami peningkatan,entailment
1682,Peningkatan volume penumpang harian juga mengindikasikan kebutuhan penambahan armada saat ini yang jumlahnya 20 unit .,Armada saat ini berjumlah 20 unit,neutral
1683,Peningkatan volume penumpang harian juga mengindikasikan kebutuhan penambahan armada saat ini yang jumlahnya 20 unit .,Volume penumpang harian tidak mengalami peningkatan,contradiction
1684,Namun sang anak berhasil kabur dan Marion mulai dikejar - kejar oleh ayahnya sendiri .,Ayah dari Marion berusaha mengejar anaknya sendiri yaitu Marion.,entailment
1685,Namun sang anak berhasil kabur dan Marion mulai dikejar - kejar oleh ayahnya sendiri .,Marion berhasil lepas dari kejaran Ayahnya.,neutral
1686,Namun sang anak berhasil kabur dan Marion mulai dikejar - kejar oleh ayahnya sendiri .,Sang Ayah tidak peduli dengan Marion yang kabur dan tidak mengejarnya.,contradiction
1687,"Kata atletik berasal dari bahasa Yunani ""athlon"" yang berarti ""kontes"".","Kata ""athlon"" memiliki arti ""kontes"".",entailment
1688,"Kata atletik berasal dari bahasa Yunani ""athlon"" yang berarti ""kontes"".",Atletik Yunani sangat berkualitas .,neutral
1689,"Kata atletik berasal dari bahasa Yunani ""athlon"" yang berarti ""kontes"".","Kata ""athlon"" tidak memiliki arti ""kontes"".",contradiction
1690,"Penggemar Takarazuka hampir seluruhnya adalah wanita , dengan sedikit penggemar dari kalangan pria setengah baya .",Penggemar Takarazuka dari jenis kelamin laki-laki dan perempuan.,Entailment
1691,"Penggemar Takarazuka hampir seluruhnya adalah wanita , dengan sedikit penggemar dari kalangan pria setengah baya .",Ada penggemar Takarazuka dari wanita paru baya.,Neutral
1692,"Penggemar Takarazuka hampir seluruhnya adalah wanita , dengan sedikit penggemar dari kalangan pria setengah baya .",Banyak penggemar Takarazuka dari pria setengah baya.,Contradiction
1693,""" Diabetisi aman berpuasa apabila kadar gula darah terkontrol , tidak menggunakan suntikan insulin lebih 2 kali sehari , liver baik , tidak ada gangguan pembuluh darah otak yang berat , tidak ada kelainan pembuluh darah jantung , cadangan lemak tubuh cukup , tidak ada kelainan hormonal lain , dan tidak demam tinggi , "" jelas dr Adeline , Sabtu ( 25/4/2020 ) .",Dokter Adeline menjelaskan aturan-aturan agar diabetisi aman berpuasa.,entailment
1694,""" Diabetisi aman berpuasa apabila kadar gula darah terkontrol , tidak menggunakan suntikan insulin lebih 2 kali sehari , liver baik , tidak ada gangguan pembuluh darah otak yang berat , tidak ada kelainan pembuluh darah jantung , cadangan lemak tubuh cukup , tidak ada kelainan hormonal lain , dan tidak demam tinggi , "" jelas dr Adeline , Sabtu ( 25/4/2020 ) .",Orang yang menderita diabetes tidak memerlukan suntikan insulin lebih dari 2 kali sehari.,neutral
1695,""" Diabetisi aman berpuasa apabila kadar gula darah terkontrol , tidak menggunakan suntikan insulin lebih 2 kali sehari , liver baik , tidak ada gangguan pembuluh darah otak yang berat , tidak ada kelainan pembuluh darah jantung , cadangan lemak tubuh cukup , tidak ada kelainan hormonal lain , dan tidak demam tinggi , "" jelas dr Adeline , Sabtu ( 25/4/2020 ) .",Diabetisi aman berpuasa seperti orang sehat.,contradiction
1696,"Kasus hewan pertama yang positif COVID-19 di Amerika Serikat ( AS ) adalah harimau melayu berusia empat tahun di Kebun Binatang Bronx bernama Nadia , yang diyakini terinfeksi virus Corona dari seorang petugas .",Kasus positif COVID-19 dapat terjadi pada hewan,entailment
1697,"Kasus hewan pertama yang positif COVID-19 di Amerika Serikat ( AS ) adalah harimau melayu berusia empat tahun di Kebun Binatang Bronx bernama Nadia , yang diyakini terinfeksi virus Corona dari seorang petugas .",Harimau melayu yang terjangkit COVID-19 adalah betina,neutral
1698,"Kasus hewan pertama yang positif COVID-19 di Amerika Serikat ( AS ) adalah harimau melayu berusia empat tahun di Kebun Binatang Bronx bernama Nadia , yang diyakini terinfeksi virus Corona dari seorang petugas .",Tidak ada harimau melayu di kebun Binatan Bronx,contradiction
1699,Auckland adalah kota Metropolitan terbesar di Selandia Baru . Penduduknya berjumlah 1.354 . 900 jiwa .,Auckland memiliki penduduk sebanyak 1.354.900 jiwa .,entailment
1700,Auckland adalah kota Metropolitan terbesar di Selandia Baru . Penduduknya berjumlah 1.354 . 900 jiwa .,Auckland adalah kota yang ramai .,neutral
1701,Auckland adalah kota Metropolitan terbesar di Selandia Baru . Penduduknya berjumlah 1.354 . 900 jiwa .,Auckland adalah kota tanpa penduduk .,contradiction
1702,Nikel Raney yang tersedia secara komersial memiliki luas permukaan rata-rata 100 m² per gram katalis .,Luas permukaan rata-rata Nikel Raney yang tersedia secara komersial adalah 100 m² per gram katalis .,entailment
1703,Nikel Raney yang tersedia secara komersial memiliki luas permukaan rata-rata 100 m² per gram katalis .,Nikel Raney hanya tersedia secara komersial .,neutral
1704,Nikel Raney yang tersedia secara komersial memiliki luas permukaan rata-rata 100 m² per gram katalis .,Rata-rata luas permukaan Nikel Raney yang tersedia secara komersial kurang dari 100 m² per gram katalis .,contradiction
1705,"Setelah penyambutan tamu dan menetapkan perimbangan bawaan , dipersiapkan perbekalan si mati untuk ke alam arwah .",Persiapan perbekalan si mati dilakukan setelah penyambutan tamu,entailment
1706,"Setelah penyambutan tamu dan menetapkan perimbangan bawaan , dipersiapkan perbekalan si mati untuk ke alam arwah .",Tamu disambut menggunakan musik meriah,neutral
1707,"Setelah penyambutan tamu dan menetapkan perimbangan bawaan , dipersiapkan perbekalan si mati untuk ke alam arwah .",Tidak ada yang hadir pada acara itu,contradiction
1708,"Dikutip dari Daily Star , data menunjukkan pasien kritis yang menggunakan ventilator meninggal sebanyak 65,4 persen .",Data tersebut dikutip dari Daily Star,entailment
1709,"Sebagai suatu lembaga negara yang independen , Bank Indonesia mempunyai otonomi penuh dalam merumuskan dan melaksanakan setiap tugas 
dan wewenangnya sebagaimana ditentukan dalam undang - undang tersebut .",Bank Indonesia adalah lembaga negara.,Entailment
1710,"Sebagai suatu lembaga negara yang independen , Bank Indonesia mempunyai otonomi penuh dalam merumuskan dan melaksanakan setiap tugas 
dan wewenangnya sebagaimana ditentukan dalam undang - undang tersebut .",Bank Indonesia berpusat di Jakarta.,Neutral
1711,"Sebagai suatu lembaga negara yang independen , Bank Indonesia mempunyai otonomi penuh dalam merumuskan dan melaksanakan setiap tugas 
dan wewenangnya sebagaimana ditentukan dalam undang - undang tersebut .",Bank Indonesia mempunyai otonomi separuh dalam merumuskan dan melaksanakan tugasnya.,Contradiction
1712,Uni Soviet menganut sistem politik satu partai yang didominasi oleh Partai Komunis hingga 1990 .,Pada 1990 Uni Soviet menganut sistem politik satu partai,entailment
1713,Uni Soviet menganut sistem politik satu partai yang didominasi oleh Partai Komunis hingga 1990 .,Uni soviet memiliki banyak partai politik,neutral
1714,Uni Soviet menganut sistem politik satu partai yang didominasi oleh Partai Komunis hingga 1990 .,Partai Komunis tidak pernah mendominasi Uni Soviet,contradiction
1715,"Revitalisasi , baik peninggalan zaman kerajaan , penjajahan dan era kemerdekaan perlu dilakukan . Tujuannya agar jati diri bangsa tidak terputus .",Tujuan revitalisasi adalah agar jati diri bangsa tidak terputus .,entailment
1716,"Revitalisasi , baik peninggalan zaman kerajaan , penjajahan dan era kemerdekaan perlu dilakukan . Tujuannya agar jati diri bangsa tidak terputus .",Belum ada revitalisasi zaman kerajaan .,neutral
1717,"Revitalisasi , baik peninggalan zaman kerajaan , penjajahan dan era kemerdekaan perlu dilakukan . Tujuannya agar jati diri bangsa tidak terputus .",Revitalisasi penjajahan tidak perlu dilakukan .,contradiction
